country,province,top_ten,style,color,sweetness,points,price,count
Austria,Wachau,False,Varietal,White,Dry,92,30,1
France,Bordeaux,True,Varietal,Rosé,Bone-Dry,89,15,1
United States of America,California,True,Varietal,White,Bone-Dry,87,43,1
United States of America,Washington,True,Blend,Red,Dry,89,24,2
France,Alsace,False,Varietal,White,Bone-Dry,96,45,1
South Africa,Stellenbosch,False,Varietal,Red,Sweet,85,26,1
Germany,Mosel,False,Varietal,White,Sweet,90,18,4
France,Bordeaux,True,Blend,Red,Bone-Dry,89,31,3
United States of America,California,True,Varietal,Red,Bone-Dry,93,57,3
United States of America,Washington,True,Varietal,Red,Bone-Dry,92,60,15
France,Burgundy,True,Varietal,White,Bone-Dry,87,50,4
Germany,Mosel,False,Varietal,White,Off-Dry,91,59,2
France,Provence,False,Blend,Rosé,Bone-Dry,90,30,1
Germany,Mosel-Saar-Ruwer,False,Varietal,White,Sweet,93,42,2
Spain,Northern Spain,True,Varietal,Red,Bone-Dry,89,9,2
Chile,Colchagua Valley,False,Varietal,Rosé,Bone-Dry,85,16,1
France,Burgundy,True,Varietal,Red,Bone-Dry,93,120,1
Spain,Catalonia,False,Blend,White,Dry,87,12,1
United States of America,California,True,Varietal,Red,Bone-Dry,91,52,17
United States of America,Washington,True,Varietal,White,Sweet,90,55,2
Italy,Central Italy,False,Varietal,White,Bone-Dry,92,45,1
United States of America,Oregon,True,Varietal,White,Bone-Dry,92,65,4
Portugal,Madeira,False,Varietal,,Sweet,92,50,1
Greece,Amyndeon,False,Varietal,Red,Bone-Dry,87,38,2
United States of America,California,True,Varietal,Red,Sweet,92,45,8
United States of America,California,True,Varietal,,Sweet,86,25,1
Chile,Maipo Valley,False,Varietal,White,Bone-Dry,87,15,3
Italy,Tuscany,True,Varietal,Red,Bone-Dry,90,100,4
United States of America,New York,True,Varietal,,Bone-Dry,90,20,1
Argentina,Mendoza Province,True,Varietal,Red,Bone-Dry,86,26,1
Chile,Maipo Valley,False,Varietal,Red,Sweet,88,13,1
South Africa,Wellington,False,Varietal,White,Sweet,89,22,2
United States of America,California,True,Blend,Red,Bone-Dry,87,26,5
United States of America,New York,True,Varietal,White,Off-Dry,85,10,1
New Zealand,Marlborough,False,Varietal,White,Dry,86,30,1
United States of America,Washington,True,Blend,Red,Sweet,86,30,1
Austria,Thermenregion,False,Varietal,Red,Bone-Dry,93,47,1
Portugal,Alentejano,False,Varietal,White,Bone-Dry,88,16,1
United States of America,Washington,True,Varietal,Red,Sweet,86,14,2
Italy,Tuscany,True,Blend,Red,Bone-Dry,94,79,1
Germany,Mosel,False,Sparkling,White,Dry,90,25,1
