country,province,top_ten,style,color,sweetness,points,price,count
Portugal,Alentejano,False,Varietal,Red,Bone-Dry,92,40,2
Argentina,Mendoza Province,True,Blend,Red,Dry,91,75,1
South Africa,Stellenbosch,False,Varietal,Red,Bone-Dry,86,18,1
United States of America,Washington,True,Varietal,Red,Bone-Dry,91,28,17
Argentina,Other,False,Varietal,Red,Sweet,84,20,2
Portugal,Douro,False,Varietal,Red,Sweet,89,27,1
United States of America,Washington,True,Varietal,Red,Sweet,89,28,6
Portugal,Alentejano,False,Varietal,Red,Dry,86,14,2
United States of America,Oregon,True,Varietal,Red,Dry,93,50,1
Chile,Maipo Valley,False,Blend,Red,Sweet,90,20,1
United States of America,Virginia,False,Varietal,,Bone-Dry,86,60,1
Portugal,Beira Atlantico,False,Varietal,,Bone-Dry,91,30,1
Italy,Piedmont,True,Varietal,Red,Bone-Dry,92,79,3
United States of America,California,True,Blend,White,Bone-Dry,90,85,1
Germany,Rheinhessen,False,Varietal,,Bone-Dry,90,60,1
France,Bordeaux,True,Blend,Red,Bone-Dry,93,50,4
Portugal,Lisboa,False,Blend,Red,Bone-Dry,86,15,2
United States of America,Washington,True,Blend,Red,Bone-Dry,96,85,2
Germany,Nahe,False,Varietal,White,Dry,93,39,1
France,Champagne,False,Sparkling,White,Sweet,93,140,1
Italy,Sicily & Sardinia,False,Blend,Red,Bone-Dry,93,19,2
Italy,Piedmont,True,Varietal,Rosé,Bone-Dry,90,30,1
United States of America,New York,True,Varietal,White,Bone-Dry,89,20,4
France,Burgundy,True,Varietal,White,Bone-Dry,88,56,3
Spain,Northern Spain,True,Blend,Red,Dry,91,50,2
France,Loire Valley,False,Sparkling,White,Dry,90,15,1
United States of America,California,True,Blend,,Sweet,92,42,1
Italy,Veneto,False,Varietal,Red,Sweet,90,26,1
Austria,Wachau,False,Varietal,White,Bone-Dry,89,19,1
Australia,South Australia,False,Varietal,Red,Bone-Dry,92,34,1
United States of America,Oregon,True,Varietal,White,Bone-Dry,85,24,1
United States of America,New York,True,Varietal,White,Dry,87,11,2
Australia,Tasmania,False,Sparkling,White,Dry,89,20,2
Italy,Veneto,False,Varietal,White,Sweet,87,14,2
United States of America,Washington,True,Varietal,,Bone-Dry,89,28,2
Spain,Andalucia,False,Varietal,,Sweet,90,30,2
France,Southwest France,False,Varietal,,Bone-Dry,91,17,1
France,Bordeaux,True,Blend,Red,Bone-Dry,94,120,4
Romania,Dealurile Munteniei,False,Blend,White,Bone-Dry,84,12,1
United States of America,Oregon,True,Varietal,Red,Bone-Dry,90,29,2
United States of America,California,True,Varietal,Red,Dry,90,24,16
Italy,Tuscany,True,Varietal,Red,Dry,87,165,1
Chile,Aconcagua Valley,False,Blend,Red,Dry,91,90,1
Canada,British Columbia,False,Varietal,White,Bone-Dry,92,27,1
United States of America,California,True,Varietal,Red,Bone-Dry,89,12,11
Italy,Sicily & Sardinia,False,Varietal,White,Sweet,88,38,1
United States of America,California,True,Varietal,Red,Bone-Dry,95,49,1
Italy,Veneto,False,Varietal,Red,Bone-Dry,84,16,2
Portugal,Alentejano,False,Varietal,Red,Bone-Dry,88,45,1
United States of America,New York,True,Varietal,White,Off-Dry,85,24,1
Chile,Maipo Valley,False,Varietal,Red,Bone-Dry,90,150,1
United States of America,California,True,Varietal,Red,Dry,90,34,6
United States of America,California,True,Varietal,,Bone-Dry,90,22,2
Chile,Maipo Valley,False,Blend,Red,Bone-Dry,86,11,1
South Africa,Stellenbosch,False,Blend,Red,Sweet,93,55,1
Chile,Elqui Valley,False,Varietal,White,Bone-Dry,86,10,1
Chile,Curicó Valley,False,Varietal,Red,Bone-Dry,89,21,1
United States of America,California,True,Varietal,Red,Bone-Dry,84,16,13
France,Burgundy,True,Varietal,Red,Dry,87,32,1
South Africa,Simonsberg-Stellenbosch,False,Varietal,Red,Bone-Dry,92,50,1
Portugal,Lisboa,False,Varietal,,Dry,86,9,1
Argentina,Other,False,Varietal,Red,Bone-Dry,84,20,4
Italy,Southern Italy,False,Varietal,Red,Bone-Dry,89,45,2
United States of America,California,True,Blend,White,Sweet,83,22,1
Hungary,Tokaj,False,Blend,White,Dry,88,25,1
Spain,Northern Spain,True,Blend,Red,Bone-Dry,92,25,3
United States of America,California,True,Blend,Red,Dry,92,69,2
Portugal,Port,False,Varietal,Red,Dry,86,20,2
Argentina,Mendoza Province,True,Varietal,White,Bone-Dry,87,10,3
United States of America,Washington,True,Varietal,Red,Dry,92,29,1
New Zealand,Hawke's Bay,False,Varietal,Red,Bone-Dry,90,17,1
Greece,Greece,False,Varietal,,Bone-Dry,83,18,1
Argentina,Other,False,Varietal,Red,Bone-Dry,93,100,2
Italy,Tuscany,True,Varietal,Red,Bone-Dry,88,24,4
Italy,Lombardy,False,Sparkling,White,Sweet,91,45,1
South Africa,Coastal Region,False,Blend,Red,Bone-Dry,85,35,1
Argentina,Mendoza Province,True,Varietal,White,Bone-Dry,88,20,4
Portugal,Tejo,False,Varietal,Rosé,Dry,84,18,1
New Zealand,Marlborough,False,Varietal,Red,Bone-Dry,88,32,2
Italy,Central Italy,False,Varietal,,Bone-Dry,86,29,2
Hungary,Villány,False,Blend,Red,Sweet,90,60,1
United States of America,California,True,Varietal,White,Sweet,87,37,1
United States of America,California,True,Varietal,Rosé,Dry,87,20,8
Austria,Kamptal,False,Varietal,White,Bone-Dry,90,26,1
United States of America,California,True,Varietal,Rosé,Bone-Dry,91,28,2
France,Alsace,False,Varietal,Rosé,Dry,89,20,2
Italy,Lombardy,False,Sparkling,Rosé,Bone-Dry,89,60,1
United States of America,California,True,Varietal,Red,Bone-Dry,92,47,5
Italy,Veneto,False,Varietal,White,Bone-Dry,93,42,1
Portugal,Vinho Verde,False,Varietal,Rosé,Off-Dry,84,12,1
France,Champagne,False,Sparkling,White,Dry,94,90,3
United States of America,Oregon,True,Blend,Red,Bone-Dry,87,28,2
Portugal,Estremadura,False,Varietal,Rosé,Bone-Dry,84,13,2
France,Bordeaux,True,Blend,Red,Sweet,91,35,3
France,Burgundy,True,Varietal,White,Bone-Dry,95,80,1
Australia,South Australia,False,Varietal,Red,Bone-Dry,89,60,3
Australia,South Australia,False,Varietal,Red,Bone-Dry,83,17,1
Italy,Northeastern Italy,False,Varietal,,Bone-Dry,87,13,2
France,Alsace,False,Varietal,White,Dry,94,25,1
Italy,Sicily & Sardinia,False,Blend,Red,Bone-Dry,88,26,1
New Zealand,Central Otago,False,Varietal,Red,Dry,89,45,1
France,Loire Valley,False,Varietal,White,Dry,94,35,1
Argentina,Mendoza Province,True,Blend,Red,Bone-Dry,89,10,1
United States of America,Virginia,False,Varietal,White,Dry,81,18,1
Italy,Veneto,False,Varietal,White,Bone-Dry,83,12,1
Chile,Loncomilla Valley,False,Varietal,Red,Bone-Dry,87,22,2
United States of America,New York,True,Varietal,Red,Bone-Dry,91,50,1
United States of America,California,True,Varietal,Red,Bone-Dry,89,95,5
United States of America,Washington,True,Varietal,Red,Dry,89,40,1
United States of America,New York,True,Varietal,White,Dry,86,22,1
United States of America,California,True,Varietal,Red,Bone-Dry,91,165,2
United States of America,California,True,Blend,Red,Bone-Dry,83,8,1
France,Alsace,False,Varietal,White,Dry,85,24,1
Chile,Maipo Valley,False,Varietal,Red,Bone-Dry,86,17,2
United States of America,California,True,Blend,Red,Bone-Dry,91,64,1
United States of America,California,True,Blend,White,Bone-Dry,88,25,6
Chile,Maule Valley,False,Varietal,White,Bone-Dry,80,9,2
Portugal,Douro,False,Varietal,Red,Bone-Dry,91,29,1
France,Bordeaux,True,Blend,Red,Bone-Dry,92,28,1
Italy,Northeastern Italy,False,Varietal,,Bone-Dry,84,24,1
United States of America,New York,True,Sparkling,White,Bone-Dry,86,16,2
France,Burgundy,True,Blend,Red,Bone-Dry,85,13,1
Portugal,Alentejano,False,Varietal,Red,Bone-Dry,87,14,3
United States of America,Michigan,False,Varietal,White,Off-Dry,86,15,1
Spain,Levante,False,Blend,Red,Dry,86,15,1
Australia,Australia Other,False,Varietal,White,Bone-Dry,88,10,1
United States of America,Washington,True,Varietal,Red,Bone-Dry,92,44,6
France,Loire Valley,False,Varietal,White,Dry,85,14,3
France,Champagne,False,Sparkling,Red,Dry,88,65,1
Portugal,Alentejo,False,Blend,Red,Bone-Dry,83,7,2
United States of America,California,True,Blend,Red,Bone-Dry,94,70,6
South Africa,Coastal Region,False,Varietal,White,Sweet,90,17,1
Australia,South Australia,False,Blend,Red,Bone-Dry,86,11,1
United States of America,California,True,Varietal,Red,Dry,84,45,5
United States of America,California,True,Varietal,Red,Dry,91,44,5
United States of America,Washington,True,Blend,Red,Bone-Dry,89,34,3
United States of America,Washington,True,Varietal,Red,Sweet,88,30,3
Argentina,Mendoza Province,True,Varietal,Rosé,Bone-Dry,86,9,1
Italy,Tuscany,True,Blend,White,Very Sweet,92,47,1
United States of America,California,True,Blend,Red,Sweet,81,37,1
France,Burgundy,True,Varietal,White,Bone-Dry,92,50,4
Italy,Northeastern Italy,False,Varietal,Red,Bone-Dry,93,120,1
Portugal,Dão,False,Varietal,Red,Dry,90,10,1
France,Rhône Valley,False,Blend,Red,Bone-Dry,85,16,2
Austria,Steiermark,False,Blend,White,Bone-Dry,88,15,1
South Africa,Stellenbosch,False,Blend,Red,Sweet,88,26,1
Spain,Northern Spain,True,Varietal,White,Sweet,82,15,1
Germany,Mosel-Saar-Ruwer,False,Varietal,White,Bone-Dry,88,49,1
France,Rhône Valley,False,Blend,White,Bone-Dry,89,49,1
Spain,Catalonia,False,Sparkling,White,Dry,86,20,1
Argentina,Other,False,Varietal,Red,Dry,84,22,1
Spain,Northern Spain,True,Blend,Red,Bone-Dry,94,80,1
United States of America,California,True,Varietal,Red,Bone-Dry,84,58,1
Chile,Colchagua Valley,False,Varietal,Red,Sweet,87,14,2
Argentina,Mendoza Province,True,Varietal,Rosé,Bone-Dry,87,13,2
France,Burgundy,True,Varietal,Red,Bone-Dry,92,81,1
United States of America,Oregon,True,Varietal,Red,Bone-Dry,90,99,1
United States of America,California,True,Varietal,White,Bone-Dry,94,54,1
Portugal,Port,False,Varietal,Red,Dry,93,83,1
Italy,Veneto,False,Varietal,Red,Dry,90,110,1
France,Rhône Valley,False,Varietal,White,Bone-Dry,93,100,3
Germany,Pfalz,False,Varietal,White,Sweet,89,39,1
Australia,South Australia,False,Varietal,Red,Bone-Dry,95,100,1
United States of America,Washington,True,Varietal,Red,Bone-Dry,83,27,1
Argentina,Mendoza Province,True,Varietal,Red,Bone-Dry,86,14,14
South Africa,Coastal Region,False,Varietal,Red,Sweet,85,15,1
United States of America,California,True,Sparkling,White,Bone-Dry,92,60,1
United States of America,California,True,Varietal,Red,Sweet,83,75,1
United States of America,New York,True,Varietal,White,Bone-Dry,83,19,1
Chile,Leyda Valley,False,Varietal,White,Bone-Dry,88,16,6
United States of America,California,True,Blend,Red,Dry,89,48,2
United States of America,California,True,Varietal,Red,Dry,88,27,4
Australia,South Australia,False,Varietal,Red,Bone-Dry,89,24,2
France,Burgundy,True,Varietal,White,Bone-Dry,94,124,1
United States of America,Washington,True,Blend,Red,Bone-Dry,94,37,1
United States of America,Washington,True,Varietal,White,Sweet,89,11,3
Italy,Veneto,False,Blend,Red,Dry,88,50,6
Italy,Veneto,False,Blend,Red,Sweet,88,27,1
Spain,Catalonia,False,Sparkling,White,Dry,87,13,2
United States of America,California,True,Varietal,White,Bone-Dry,83,36,1
United States of America,New York,True,Varietal,White,Off-Dry,86,15,7
New Zealand,Martinborough,False,Varietal,White,Dry,86,18,1
Italy,Piedmont,True,Varietal,Red,Bone-Dry,92,78,2
Spain,Northern Spain,True,Varietal,White,Bone-Dry,81,13,1
Chile,Cachapoal Valley,False,Varietal,Red,Dry,91,19,1
Italy,Central Italy,False,Varietal,,Bone-Dry,88,30,1
Portugal,Port,False,Varietal,Red,Sweet,89,41,1
France,Loire Valley,False,Varietal,Rosé,Bone-Dry,86,14,1
Austria,Niederösterreich,False,Varietal,,Bone-Dry,87,17,1
France,Bordeaux,True,Blend,Red,Sweet,82,13,1
France,Alsace,False,Varietal,,Bone-Dry,89,33,1
United States of America,California,True,Varietal,Red,Bone-Dry,93,72,10
Chile,Maule Valley,False,Varietal,Red,Bone-Dry,86,9,1
France,Alsace,False,Varietal,White,Off-Dry,87,25,3
Greece,Halkidiki,False,Blend,Red,Bone-Dry,87,8,1
United States of America,New York,True,Sparkling,Red,Bone-Dry,86,30,2
Italy,Veneto,False,Varietal,White,Bone-Dry,87,23,1
Chile,Cachapoal Valley,False,Varietal,White,Sweet,85,15,1
Italy,Veneto,False,Blend,Red,Dry,92,59,2
Austria,Wachau,False,Varietal,White,Dry,90,25,5
France,Champagne,False,Sparkling,White,Dry,95,130,2
United States of America,Washington,True,Varietal,Red,Bone-Dry,95,100,2
France,Burgundy,True,Varietal,White,Bone-Dry,85,20,7
Spain,Central Spain,False,Varietal,,Bone-Dry,88,40,1
Austria,Kremstal,False,Varietal,White,Bone-Dry,92,25,3
New Zealand,Central Otago,False,Varietal,Red,Bone-Dry,91,36,1
Spain,Catalonia,False,Sparkling,White,Bone-Dry,91,39,1
Germany,Mosel,False,Varietal,White,Off-Dry,87,19,1
Italy,Sicily & Sardinia,False,Varietal,Red,Bone-Dry,87,13,1
United States of America,California,True,Varietal,Red,Sweet,84,22,5
United States of America,California,True,Varietal,White,Off-Dry,86,16,1
Argentina,Mendoza Province,True,Varietal,Red,Sweet,86,18,1
Portugal,Douro,False,Varietal,Red,Bone-Dry,89,10,1
South Africa,Stellenbosch,False,Blend,White,Off-Dry,87,14,1
Spain,Galicia,False,Varietal,White,Bone-Dry,88,60,1
Greece,Limnos,False,Varietal,,Sweet,84,18,1
United States of America,California,True,Varietal,Red,Sweet,88,75,2
France,France Other,False,Varietal,White,Dry,85,13,5
Italy,Veneto,False,Varietal,Red,Sweet,90,150,1
France,Alsace,False,Varietal,White,Dry,92,26,2
France,Southwest France,False,Blend,White,Sweet,83,12,1
United States of America,California,True,Varietal,,Bone-Dry,86,45,1
Argentina,Mendoza Province,True,Varietal,Red,Bone-Dry,89,80,1
France,Loire Valley,False,Varietal,Red,Dry,90,15,1
France,Burgundy,True,Varietal,Red,Dry,90,36,1
United States of America,California,True,Varietal,White,Sweet,84,22,8
France,Burgundy,True,Varietal,Red,Sweet,86,25,2
France,Beaujolais,False,Varietal,Red,Bone-Dry,84,17,2
Argentina,Mendoza Province,True,Varietal,Red,Bone-Dry,84,33,2
United States of America,California,True,Blend,Red,Sweet,80,28,1
France,Alsace,False,Varietal,White,Bone-Dry,86,28,4
Austria,Niederösterreich,False,Varietal,White,Dry,85,18,2
Italy,Northeastern Italy,False,Sparkling,White,Bone-Dry,91,35,2
France,Loire Valley,False,Varietal,White,Dry,88,26,7
Spain,Northern Spain,True,Blend,Red,Bone-Dry,88,36,2
United States of America,Virginia,False,Blend,White,Sweet,85,26,1
Austria,Burgenland,False,Varietal,Red,Bone-Dry,88,22,2
Italy,Tuscany,True,Blend,Red,Bone-Dry,91,44,1
United States of America,California,True,Varietal,White,Dry,90,25,24
Argentina,Mendoza Province,True,Varietal,Red,Bone-Dry,87,30,5
United States of America,California,True,Sparkling,White,Dry,92,42,1
France,Southwest France,False,Varietal,Red,Dry,89,18,2
France,Bordeaux,True,Blend,Red,Bone-Dry,87,149,1
Portugal,Lisboa,False,Blend,White,Very Sweet,86,8,2
United States of America,Oregon,True,Varietal,White,Bone-Dry,87,28,3
France,France Other,False,Sparkling,Rosé,Dry,84,12,1
Portugal,Douro,False,Varietal,Red,Dry,88,22,1
Croatia,Istria,False,Blend,Red,Bone-Dry,87,19,1
France,Alsace,False,Sparkling,White,Off-Dry,90,20,1
Germany,Rheinhessen,False,Varietal,White,Sweet,85,27,2
Australia,Western Australia,False,Blend,Red,Bone-Dry,88,19,2
Spain,Northern Spain,True,Varietal,White,Bone-Dry,87,6,1
France,Loire Valley,False,Blend,White,Bone-Dry,87,15,1
United States of America,California,True,Blend,Red,Dry,85,18,2
United States of America,California,True,Varietal,,Sweet,87,10,1
United States of America,Oregon,True,Varietal,Red,Sweet,94,63,1
United States of America,Oregon,True,Blend,Red,Bone-Dry,90,52,1
Italy,Northeastern Italy,False,Varietal,,Bone-Dry,88,22,9
United States of America,Oregon,True,Varietal,White,Bone-Dry,80,18,1
United States of America,California,True,Blend,White,Bone-Dry,91,24,7
Italy,Italy Other,False,Sparkling,Rosé,Dry,85,15,1
Italy,Sicily & Sardinia,False,Varietal,Red,Dry,85,13,1
United States of America,California,True,Varietal,Red,Bone-Dry,94,55,39
United States of America,Washington,True,Varietal,Red,Bone-Dry,90,19,3
United States of America,New York,True,Varietal,White,Bone-Dry,88,14,4
United States of America,Oregon,True,Varietal,Red,Bone-Dry,91,60,28
United States of America,California,True,Sparkling,Rosé,Dry,92,29,1
France,Alsace,False,Varietal,White,Bone-Dry,87,23,3
Italy,Tuscany,True,Varietal,Red,Bone-Dry,85,26,1
France,Champagne,False,Sparkling,Rosé,Dry,88,55,10
France,Bordeaux,True,Varietal,White,Dry,86,18,1
Portugal,Beira Interior,False,Varietal,Red,Bone-Dry,91,20,1
Germany,Rheinhessen,False,Varietal,White,Dry,94,85,1
United States of America,California,True,Blend,,Bone-Dry,85,75,1
Austria,Burgenland,False,Blend,Red,Bone-Dry,88,19,2
United States of America,Oregon,True,Varietal,Red,Bone-Dry,88,22,9
France,Champagne,False,Sparkling,Rosé,Dry,90,89,1
Germany,Nahe,False,Varietal,White,Off-Dry,93,54,1
Argentina,Mendoza Province,True,Varietal,Red,Bone-Dry,88,64,1
United States of America,New York,True,Varietal,Red,Bone-Dry,86,50,1
Italy,Tuscany,True,Blend,Red,Bone-Dry,88,23,7
France,Alsace,False,Blend,White,Dry,94,35,1
Austria,Wachau,False,Varietal,White,Dry,88,15,1
United States of America,New Mexico,False,Varietal,,Bone-Dry,84,24,1
Italy,Piedmont,True,Varietal,Red,Sweet,92,58,1
France,Alsace,False,Varietal,White,Bone-Dry,86,15,5
France,France Other,False,Varietal,White,Bone-Dry,85,18,1
France,Burgundy,True,Varietal,Red,Bone-Dry,91,28,1
Italy,Central Italy,False,Varietal,White,Bone-Dry,91,25,1
Italy,Southern Italy,False,Varietal,White,Sweet,85,12,2
Italy,Southern Italy,False,Varietal,,Bone-Dry,87,16,4
Spain,Northern Spain,True,Blend,Red,Sweet,85,18,2
Spain,Catalonia,False,Blend,Red,Bone-Dry,89,14,1
Portugal,Tejo,False,Blend,Red,Bone-Dry,85,25,2
Portugal,Tejo,False,Varietal,Red,Sweet,84,13,1
Italy,Southern Italy,False,Varietal,White,Bone-Dry,91,23,1
Italy,Veneto,False,Varietal,Red,Dry,89,22,2
United States of America,California,True,Blend,Red,Sweet,93,25,1
United States of America,Washington,True,Blend,White,Bone-Dry,85,24,1
Chile,Peumo,False,Varietal,Red,Bone-Dry,89,40,1
Portugal,Lisboa,False,Varietal,Red,Bone-Dry,88,12,2
United States of America,California,True,Blend,Red,Bone-Dry,86,14,8
Australia,South Australia,False,Varietal,Red,Bone-Dry,98,135,1
United States of America,California,True,Blend,Red,Bone-Dry,88,66,1
Argentina,Other,False,Varietal,White,Sweet,81,13,1
France,Loire Valley,False,Varietal,White,Dry,93,25,1
Italy,Tuscany,True,Blend,Red,Dry,84,50,1
United States of America,Washington,True,Blend,White,Bone-Dry,89,11,1
Chile,Casablanca Valley,False,Varietal,White,Dry,85,14,2
Argentina,Mendoza Province,True,Varietal,Red,Bone-Dry,88,15,20
Argentina,Other,False,Varietal,Red,Dry,90,19,2
France,Burgundy,True,Varietal,White,Bone-Dry,94,75,6
Italy,Sicily & Sardinia,False,Blend,White,Bone-Dry,86,13,7
United States of America,New York,True,Blend,Red,Bone-Dry,85,20,2
United States of America,California,True,Blend,Red,Dry,86,26,1
United States of America,Washington,True,Varietal,White,Sweet,84,19,1
United States of America,California,True,Varietal,,Sweet,92,25,1
Italy,Tuscany,True,Varietal,Red,Bone-Dry,92,72,2
Italy,Southern Italy,False,Varietal,Red,Bone-Dry,93,80,2
France,Provence,False,Blend,White,Bone-Dry,88,15,1
France,Southwest France,False,Varietal,Red,Dry,87,10,1
France,Bordeaux,True,Blend,White,Bone-Dry,85,9,5
Canada,Ontario,False,Varietal,White,Bone-Dry,83,12,1
Austria,Kamptal,False,Varietal,White,Dry,86,25,1
Austria,Kamptal,False,Varietal,White,Dry,93,33,1
Italy,Tuscany,True,Varietal,Red,Bone-Dry,96,315,1
United States of America,Washington,True,Varietal,White,Dry,86,18,2
Italy,Sicily & Sardinia,False,Varietal,Red,Bone-Dry,86,28,1
Austria,Thermenregion,False,Varietal,Red,Bone-Dry,86,20,1
Portugal,Estremadura,False,Varietal,White,Very Sweet,86,10,1
United States of America,California,True,Blend,Red,Bone-Dry,89,59,2
Portugal,Alentejano,False,Varietal,White,Very Sweet,87,10,6
France,Bordeaux,True,Blend,Red,Bone-Dry,95,160,1
Germany,Mosel,False,Sparkling,White,Bone-Dry,89,18,1
Austria,Wachau,False,Varietal,White,Bone-Dry,96,64,1
Portugal,Lisboa,False,Varietal,Red,Bone-Dry,85,11,1
New Zealand,Central Otago,False,Varietal,Red,Bone-Dry,89,43,1
Portugal,Tejo,False,Blend,White,Very Sweet,87,14,1
Spain,Northern Spain,True,Varietal,White,Dry,91,26,1
France,Alsace,False,Varietal,White,Dry,94,58,1
Spain,Catalonia,False,Varietal,Red,Bone-Dry,84,17,1
Italy,Central Italy,False,Blend,Red,Bone-Dry,87,10,1
Portugal,Alentejano,False,Varietal,Red,Dry,92,80,1
United States of America,California,True,Blend,Red,Bone-Dry,82,38,1
United States of America,California,True,Sparkling,White,Dry,90,39,1
Italy,Veneto,False,Varietal,White,Bone-Dry,88,11,1
Spain,Levante,False,Varietal,,Sweet,87,12,1
Chile,Colchagua Valley,False,Blend,Red,Bone-Dry,91,300,1
France,Provence,False,Blend,Red,Bone-Dry,92,30,2
United States of America,Oregon,True,Varietal,Red,Sweet,91,34,1
United States of America,California,True,Varietal,Red,Sweet,84,23,2
Spain,Galicia,False,Varietal,White,Dry,90,17,1
Australia,New South Wales,False,Varietal,White,Bone-Dry,89,14,1
United States of America,California,True,Varietal,Red,Bone-Dry,90,57,3
Italy,Tuscany,True,Varietal,Red,Bone-Dry,95,130,1
Italy,Tuscany,True,Varietal,Red,Bone-Dry,88,15,17
United States of America,California,True,Varietal,Red,Sweet,84,75,2
Italy,Veneto,False,Varietal,White,Sweet,87,23,1
Germany,Mosel,False,Varietal,White,Bone-Dry,94,73,1
United States of America,Oregon,True,Varietal,White,Bone-Dry,90,26,3
Germany,Franken,False,Varietal,White,Dry,89,63,1
Germany,Mosel,False,Varietal,White,Sweet,94,52,2
Greece,Atalanti Valley,False,Blend,White,Bone-Dry,85,35,1
Spain,Catalonia,False,Varietal,White,Dry,88,40,1
United States of America,California,True,Blend,Red,Bone-Dry,94,62,1
Italy,Tuscany,True,Varietal,Red,Bone-Dry,95,85,1
Spain,Catalonia,False,Varietal,Red,Bone-Dry,85,11,1
Germany,Nahe,False,Varietal,White,Sweet,91,30,2
Portugal,Lisboa,False,Blend,White,Very Sweet,87,14,1
Argentina,Mendoza Province,True,Varietal,Red,Bone-Dry,91,95,1
United States of America,Virginia,False,Varietal,Red,Dry,83,25,2
United States of America,California,True,Blend,Red,Dry,93,78,1
Spain,Northern Spain,True,Varietal,Red,Bone-Dry,93,150,1
Portugal,Port,False,Varietal,White,Very Sweet,92,39,1
United States of America,California,True,Varietal,White,Off-Dry,92,27,2
Italy,Piedmont,True,Varietal,Red,Bone-Dry,91,80,5
Spain,Levante,False,Blend,Red,Dry,90,35,1
United States of America,California,True,Blend,Red,Bone-Dry,84,26,3
France,Languedoc-Roussillon,False,Blend,Red,Sweet,90,25,2
United States of America,Virginia,False,Blend,Red,Bone-Dry,84,26,1
Portugal,Douro,False,Varietal,Rosé,Dry,87,23,2
France,Rhône Valley,False,Blend,Rosé,Dry,84,13,1
United States of America,California,True,Varietal,White,Sweet,87,10,12
France,Alsace,False,Varietal,White,Bone-Dry,91,20,3
Germany,Nahe,False,Varietal,White,Sweet,90,27,1
Portugal,Douro,False,Varietal,Red,Bone-Dry,89,21,1
France,Southwest France,False,Varietal,,Bone-Dry,94,35,1
United States of America,Washington,True,Blend,White,Bone-Dry,88,19,1
France,Bordeaux,True,Blend,Red,Dry,93,90,1
Australia,South Australia,False,Blend,Red,Bone-Dry,87,26,1
Chile,Curicó Valley,False,Varietal,Red,Bone-Dry,83,10,2
Italy,Veneto,False,Varietal,Red,Sweet,93,70,1
United States of America,Pennsylvania,False,Varietal,Red,Bone-Dry,85,18,2
Chile,Rapel Valley,False,Varietal,Red,Bone-Dry,82,11,2
United States of America,California,True,Blend,Red,Dry,89,20,3
Italy,Piedmont,True,Varietal,Red,Bone-Dry,87,65,5
Italy,Tuscany,True,Varietal,Red,Bone-Dry,90,23,4
Portugal,Lisboa,False,Sparkling,Rosé,Bone-Dry,87,19,2
United States of America,New York,True,Varietal,White,Dry,87,20,7
Australia,Tasmania,False,Varietal,Red,Bone-Dry,90,65,1
Germany,Mosel,False,Varietal,White,Dry,91,38,1
Austria,Niederösterreich,False,Varietal,White,Dry,85,14,2
France,Rhône Valley,False,Blend,Red,Bone-Dry,88,23,2
Italy,Tuscany,True,Blend,White,Bone-Dry,87,22,1
Portugal,Alentejano,False,Varietal,Red,Bone-Dry,81,16,1
Italy,Tuscany,True,Varietal,,Sweet,86,12,1
Spain,Northern Spain,True,Varietal,,Bone-Dry,83,21,1
France,Bordeaux,True,Blend,White,Bone-Dry,89,45,1
France,France Other,False,Varietal,Rosé,Dry,88,17,1
United States of America,California,True,Blend,White,Bone-Dry,90,15,1
Argentina,Mendoza Province,True,Varietal,Red,Dry,86,18,1
Italy,Piedmont,True,Varietal,Red,Bone-Dry,94,60,16
France,Bordeaux,True,Blend,Red,Bone-Dry,85,22,7
Argentina,Other,False,Varietal,Red,Bone-Dry,89,17,3
United States of America,Oregon,True,Blend,Rosé,Bone-Dry,91,35,2
United States of America,Washington,True,Varietal,Red,Dry,92,45,2
Spain,Northern Spain,True,Varietal,,Sweet,90,44,1
Italy,Piedmont,True,Sparkling,White,Bone-Dry,87,16,1
Portugal,Vinho Verde,False,Blend,White,Bone-Dry,90,14,1
Portugal,Dão,False,Varietal,Red,Bone-Dry,87,9,1
Spain,Galicia,False,Varietal,White,Bone-Dry,84,18,3
Portugal,Alentejano,False,Varietal,Red,Dry,84,12,2
Bulgaria,Danube River Plains,False,Varietal,White,Bone-Dry,90,17,1
United States of America,Virginia,False,Varietal,,Bone-Dry,86,20,2
Spain,Galicia,False,Varietal,Red,Bone-Dry,88,25,1
Italy,Piedmont,True,Varietal,Red,Bone-Dry,89,59,3
Italy,Northeastern Italy,False,Varietal,Red,Bone-Dry,89,23,1
United States of America,Oregon,True,Blend,Red,Sweet,84,35,1
France,Languedoc-Roussillon,False,Blend,White,Bone-Dry,89,18,2
France,Burgundy,True,Varietal,White,Bone-Dry,88,39,1
France,Alsace,False,Varietal,White,Off-Dry,91,48,1
Argentina,Other,False,Blend,Red,Bone-Dry,88,100,1
Italy,Southern Italy,False,Varietal,Red,Bone-Dry,89,18,2
United States of America,Washington,True,Varietal,White,Bone-Dry,83,22,1
France,Southwest France,False,Varietal,Red,Bone-Dry,91,25,7
Austria,Vienna,False,Blend,White,Bone-Dry,88,18,1
Italy,Lombardy,False,Varietal,White,Bone-Dry,88,46,1
Australia,Western Australia,False,Varietal,White,Bone-Dry,85,16,2
United States of America,Oregon,True,Sparkling,White,Dry,91,29,1
Argentina,Mendoza Province,True,Varietal,Red,Dry,81,9,1
France,Burgundy,True,Varietal,Red,Bone-Dry,90,90,1
Italy,Tuscany,True,Blend,Red,Bone-Dry,90,14,1
